threshold,precision,recall,f1
0.1,0.1216865602232212,0.9899117276166457,0.21673108779679734
0.15000000000000002,0.13564839934888767,0.9457755359394704,0.2372666877570389
0.20000000000000004,0.1614100185528757,0.8776796973518285,0.2726738491674829
0.25000000000000006,0.1983575489576753,0.7919293820933165,0.31725183127052287
0.30000000000000004,0.2492225677476677,0.7074401008827238,0.36859395532194483
0.3500000000000001,0.30072904009720536,0.6242118537200504,0.4059040590405904
0.40000000000000013,0.35630383711824587,0.5737704918032787,0.4396135265700483
0.45000000000000007,0.40501446480231434,0.5296343001261034,0.45901639344262296
0.5000000000000001,0.4387397899649942,0.47414880201765447,0.45575757575757575
0.5500000000000002,0.4637482900136799,0.4274905422446406,0.4448818897637795
0.6000000000000002,0.4856661045531197,0.36317780580075665,0.4155844155844156
0.6500000000000001,0.5251046025104602,0.31651954602774274,0.3949645948072384
0.7000000000000002,0.5637393767705382,0.2509457755359395,0.3472949389179756
0.7500000000000002,0.5927272727272728,0.2055485498108449,0.3052434456928839
0.8000000000000002,0.6495327102803738,0.17528373266078184,0.27606752730883816
0.8500000000000002,0.695364238410596,0.13240857503152584,0.22245762711864406
