threshold,precision,recall,f1
0.1,0.11748148148148148,1.0,0.21026116929603605
0.15000000000000002,0.1182170542635659,1.0,0.21143847487001732
0.20000000000000004,0.12094168333589783,0.9911727616645649,0.21557871640153592
0.25000000000000006,0.12884060431166186,0.957124842370744,0.22710951526032316
0.30000000000000004,0.1401439424230308,0.8839848675914249,0.24193270060396893
0.3500000000000001,0.1593988667159399,0.8158890290037831,0.26669414674361086
0.40000000000000013,0.18622848200312989,0.7503152585119798,0.29839518555667
0.45000000000000007,0.22119815668202766,0.6658259773013872,0.3320754716981132
0.5000000000000001,0.2667429879793932,0.587641866330391,0.3669291338582677
0.5500000000000002,0.32087733549959385,0.49810844892812106,0.39031620553359686
0.6000000000000002,0.3803611738148984,0.424968474148802,0.40142942227516376
0.6500000000000001,0.4269340974212034,0.37578814627994955,0.3997317236753856
0.7000000000000002,0.47755834829443444,0.3354350567465322,0.3940740740740741
0.7500000000000002,0.5052854122621564,0.30138713745271123,0.37756714060031593
0.8000000000000002,0.5207823960880196,0.2686002522068096,0.3544093178036606
0.8500000000000002,0.5615141955835962,0.2244640605296343,0.3207207207207207
