threshold,precision,recall,f1
0.1,0.12691430433365916,0.9823455233291298,0.22478718799596017
0.15000000000000002,0.13652189847901777,0.9394703656998739,0.2384
0.20000000000000004,0.15234207133648475,0.8940731399747793,0.26032678538645126
0.25000000000000006,0.17442778216258878,0.8360655737704918,0.2886373530692207
0.30000000000000004,0.2040748162992652,0.7704918032786885,0.3226828624240824
0.3500000000000001,0.2393952120957581,0.7187894073139974,0.3591682419659735
0.40000000000000013,0.2826204656199242,0.6582597730138714,0.39545454545454545
0.45000000000000007,0.3363259668508287,0.6141235813366961,0.43462739848282017
0.5000000000000001,0.37699412258606213,0.5662042875157629,0.4526209677419355
0.5500000000000002,0.41865284974093264,0.5094577553593947,0.459613196814562
0.6000000000000002,0.4665012406947891,0.47414880201765447,0.47029393370856787
0.6500000000000001,0.487627365356623,0.4224464060529634,0.4527027027027027
0.7000000000000002,0.5173611111111112,0.37578814627994955,0.435354273192111
0.7500000000000002,0.5612244897959183,0.3467843631778058,0.4286827747466875
0.8000000000000002,0.5909090909090909,0.2786885245901639,0.3787489288774636
0.8500000000000002,0.6305970149253731,0.21311475409836064,0.31856738925541944
